Key,Value,T
0,"STRENGTH[/center]
Strength governs encumbrance, weapon damage[/left]
and the ease of increasing strength-related skills.[/left]
With your strength of %str, you are considered %ark[/left]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]modifier is factored into your[/left]
[/pos:x=40,y=0]hand-to-hand / weapon damage.[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]kilograms is your maximum encumbrance.[/left]
[/end]","强度[/center] 
 力量控制负担，武器伤害[/left] 
 [/left] 
 凭着％str的强度，您被认为％ark [/left] 
 [/pos：x = 20，y = 0]％dam [/pos：x = 40，y = 0]修饰符被计入您的[/left] 
 [/pos：x = 40，y = 0] hand hand hand/武器损坏。[/left] 
 [/pos：x = 20，y = 0]％enc [/pos：x = 40，y = 0]千克是您的最大支出。[/left] 
 [/end]"
1,"INTELLIGENCE[/center]
Intelligence governs total magic potential[/left]
and the ease of increasing intelligence-related skills.[/left]
With your intelligence of %int, you are considered %ark.[/left]
[/pos:x=20,y=0]%spc out of %spt spell points are available for casting.[/left]
[/end]","智能[/center] 
 情报控制总魔术潜力[/left] 
 以及提高智能相关技能的便利性。 
 有了您的智能％int，您就被视为％ark。 
 [/pos：x = 20，y = 0]％spc in％spt法术点可用于铸造。[/left] 
 [/end]"
2,"WILLPOWER[/center]
Willpower governs resistance to spell effects[/left]
and the ease of increasing willpower-related skills.[/left]
With your willpower of %wil, you are considered %ark.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]modifier is factored into your magical resistance.[/left]
[/end]","意志力[/center] 
 意志力控制对拼写效果的阻力[/left] 
 以及提高意志力相关技能的便利性。<span class ='notranslate'> [/left] 
 有了您的意志力，您被认为是％方舟。[/left] 
 [/pos：x = 20，y = 0]+％mad [/pos：x = 40，y = 0]修饰符被纳入您的神奇电阻。<span class ='notranslate'> [/left] </span > 
 [/end]"
3,"AGILITY[/center]
Agility governs ability to hit a target,[/left]
to avoid getting hit, and the ease of increasing[/left]
agility-related skills. With your agility of %agi,[/left]
you are considered %ark.[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]modifier is factored into your combat odds.[/left]
[/end]","敏捷性[/center] 
 敏捷性控制击中目标的能力，[/left] 
 为了避免受到打击，并易于增加[/left] 
 与敏捷有关的技能。 随着％agi的敏捷性，[/left] 
 您被认为是％ark。[/left] 
 [/pos：x = 20，y = 0]％thd [/pos：x = 40，y = 0]修饰符被纳入您的战斗赔率。<span class ='notranslate'>'> [/left] </span> 
 [/end]"
4,"ENDURANCE[/center]
Endurance governs hit points, healing rate,[/left]
resistance to poisons and diseases, and fatigue.[/left]
With your endurance of %end, you are considered %ark.[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]modifier is factored into the number[/left]
[/pos:x=40,y=0]of hit points you gain each level.[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]modifier is factored into your healing rate.[/left]
[/end]","耐力[/center] 
 耐力控制生命值，康复率，[/left] 
 对毒物和疾病的抵抗力和疲劳。 
 持续百分比，您被认为是％方舟。[/left] 
 [/pos：x = 20，y = 0]％he [/pos：x = 40，y = 0]修饰符被计入数字[/left] 
 [/pos：x = 40，y = 0]您获得每个级别的命中点。[/left] 
 [/pos：x = 20，y = 0]％hmd [/pos：x = 40，y = 0]修饰率都将修复率纳入您的愈合率。<span class ='notranslate'>'> [/left] </span> 
 [/end]"
5,"PERSONALITY[/center]
Personality governs the ease of increasing[/left]
personality-related skills.[/left]
With your personality of %per, you are considered %ark.[/left]
[/end]","个性[/center] 
 个性控制[/left]的便利性 
 与人格相关的技能。[/left] 
 您的个性为％per，您被认为是％ark。 
 [/end]"
6,"SPEED[/center]
Speed governs movement rate, missile reloading time,[/left]
and all speed-related skills.[/left]
With your speed of %spd, you are considered %ark.[/left]
[/end]","速度[/center] 
 速度控制运动率，导弹重新加载时间，[/left] 
 和所有与速度相关的技能。[/left] 
 以％spd的速度，您被视为％ark。 
 [/end]"
7,"LUCK[/center]
Luck is a powerful modifier to any action you take.[/left]
There are no skills in which luck is the primary attribute,[/left]
but your odds of succeeding in any skill trial is modified[/left]
by your luck.[/left]
With your luck of %luc, you are considered %ark.[/left]
[/end]","运气[/center] 
 运气是您采取任何动作的强大修饰符。[/left] 
 没有技能是主要属性，[/left] 
 但是您在任何技能试验中取得成功的几率都会被修改[/left] 
 通过您的运气。[/left] 
 借助％luc的运气，您被认为是％ark。 
 [/end]"
8,"Training will cost you %a.[/center]
Do you wish to receive training?[/end]","培训将花费您％a。[/center] 
 您想接受培训吗？[/end]"
10,I think they have one in %fcn.[/end],我认为他们有一个在％fcn中。[/end]
11,"I have no idea.[/record]
I honestly couldn't tell you.[/record]
Don't know, really...[/record]
Try asking someone else.[/record]
You tell me.[/end]","我不知道。[/记录] 
 老实说，我无法告诉你。[/记录] 
 真的不知道... [/记录] 
 尝试问别人。[/记录] 
 你告诉我。[/end]"
12,You have no spells in your spellbook.[/end],您的咒语书中没有法术。[/end]
13,"There is no place by[/center]
that name on your map.[/center]
[/end]","[/center]没有位置 
 地图上的名称。[/center] 
 [/end]"
14,You must distribute your bonus points.[/end],您必须分发奖励积分。[/end]
15,Do you wish to surrender to the city guards?[/end],您想屈服于市政府吗？[/end]
16,You are asking for too many days into the future.[/end],您要在未来要花很多天。
17,It is illegal to camp in or near a city.[/end],在城市中或附近扎营是非法的。[/end]
18,You are healthy.[/end],您很健康。[/end]
19,You have no affiliations.[/end],您没有隶属关系。[/end]
20,There is no soul to release from Azura's Star.[/end],没有灵魂可以从Azura的星星中释放。[/end]
21,You cannot train a skill that above 50%.[/end],您不能训练超过50％的技能。[/end]
22,"You are in %cn.[/center]
It is %tim on %dat.[/center]
In the eyes of the law of %crn,[/center]
you are %ltn.[/center]
[/end]","您在％cn。 
 它是％tim on％dat。[/center] 
 在％crn定律的眼中，[/center] 
 您是％ltn。[/center] 
 [/end]"
23,"You have to wait at least 12 hours before you[/center]
can undertake more training.[/center]
[/end]","您必须等待至少12个小时才能[/center] 
 可以接受更多的培训。[/center] 
 [/end]"
24,"This does not need to be repaired.[/center]
[/end]","这不需要修复。[/center] 
 [/end]"
25,"You have %gii gold pieces. How many[/center]
do you wish to drop ?[/center]
[/input] [/center]
[/end]","您有％GII金片。 多少[/center] 
 您想掉落吗？[/center] 
 [/input] [/center] 
 [/end]"
26,"You cannot rest for more[/center]
than 99 hours at a time.[/center]
[/end]","您不能更多地休息[/center] 
 一次比99小时。[/center] 
 [/end]"
